name,school,position,nil_valuation,nil_rank,class_year,recruiting_stars,recruiting_rating,national_rank,state,followers,headshot_url,profile_url,category
Maddy Anderson,Clear Falls,GK,0,,2020,,,,,1958,https://on3static.com/uploads/assets/36/167/167036.png,https://www.on3.com/db/maddy-anderson-178498/,college_womens_soccer
Juliauna Hayward,Legacy,MF,0,,2022,,,,,2680,https://on3static.com/uploads/assets/506/185/185506.png,https://www.on3.com/db/juliauna-hayward-171960/,college_womens_soccer
Alia Skinner,Fleming Island,GK,0,,2020,,,,,2376,https://on3static.com/uploads/assets/648/217/217648.jpg,https://www.on3.com/db/alia-skinner-172596/,college_womens_soccer
Trinity Watson,Point Loma,DF,0,,2018,,,,,8462,https://on3static.com/uploads/assets/21/113/113021.jpg,https://www.on3.com/db/trinity-watson-163085/,college_womens_soccer
Anna Dunch,Round Rock,DF,0,,2021,,,,,5730,https://on3static.com/uploads/assets/56/336/336056.png,https://www.on3.com/db/anna-dunch-214563/,college_womens_soccer
Mollie Breiner,Broken Arrow,DF,0,,2020,,,,,1408,https://on3static.com/uploads/assets/719/188/188719.png,https://www.on3.com/db/mollie-breiner-171594/,college_womens_soccer
Taylor Huff,Groveport Madison,MF,0,,2020,,,,,6232,https://on3static.com/uploads/assets/855/264/264855.png,https://www.on3.com/db/taylor-huff-191914/,college_womens_soccer
Sam Meza,Texas Tech K-12 Online,MF,0,,2020,,,,,6612,https://on3static.com/uploads/assets/786/221/221786.png,https://www.on3.com/db/sam-meza-172288/,college_womens_soccer
Messiah Bright,Cedar Hill,AT,0,,2019,,,,,13332,https://on3static.com/uploads/assets/283/107/107283.jpeg,https://www.on3.com/db/messiah-bright-162451/,college_womens_soccer
Sophie Jones,Menlo-Atherton,MF,0,,2019,,,,,4380,https://on3static.com/uploads/assets/269/107/107269.jpeg,https://www.on3.com/db/sophie-jones-162442/,college_womens_soccer
Leah Freeman,Berkeley,GK,0,,2020,,,,,4399,https://on3static.com/uploads/assets/370/225/225370.jpg,https://www.on3.com/db/leah-freeman-172361/,college_womens_soccer
Karleen Bedre,Norco,AT,0,,2019,,,,,13850,https://on3static.com/uploads/assets/679/133/133679.jpg,https://www.on3.com/db/karleen-bedre-175262/,college_womens_soccer
LeiLanni Nesbeth,Bedes Senior School,MF,0,,2019,,,,,3504,https://on3static.com/uploads/assets/940/229/229940.png,https://www.on3.com/db/leilanni-nesbeth-192000/,college_womens_soccer
Maya Doms,Davis Senior,MF,0,,2019,,,,,3262,https://on3static.com/uploads/assets/263/107/107263.jpeg,https://www.on3.com/db/maya-doms-162441/,college_womens_soccer
Ruthie Jones,Charlotte Latin School,GK,0,,2019,,,,,2820,https://on3static.com/uploads/assets/226/107/107226.jpeg,https://www.on3.com/db/ruthie-jones-162419/,college_womens_soccer
Jordan Brown,Faith Lutheran,GK,0,,2022,,,,,1706,https://on3static.com/uploads/assets/900/231/231900.png,https://www.on3.com/db/jordan-brown-172133/,college_womens_soccer
Brecken Mozingo,Alta,AT,0,,2020,,,,,7724,https://on3static.com/uploads/assets/230/251/251230.png,https://www.on3.com/db/brecken-mozingo-238651/,college_womens_soccer
Jenna Nighswonger,Huntington Beach,AT,0,,2019,,,,,2357,https://on3static.com/uploads/assets/621/110/110621.jpg,https://www.on3.com/db/jenna-nighswonger-162898/,college_womens_soccer
Onyi Echegini,Bexleyheath Academy,MF,0,,2019,,,,,2257,https://on3static.com/uploads/assets/822/129/129822.jpg,https://www.on3.com/db/onyi-echegini-174921/,college_womens_soccer
Reagan Bridges,Arapahoe,DF,0,,2019,,,,,2199,https://on3static.com/uploads/assets/344/194/194344.png,https://www.on3.com/db/reagan-bridges-171297/,college_womens_soccer
Lyndsey Heckel,Nerinx Hall,DF,0,,2020,,,,,2180,https://on3static.com/uploads/assets/398/225/225398.jpg,https://www.on3.com/db/lyndsey-heckel-171690/,college_womens_soccer
Madison Jones,Lake Brantley,MF,0,,2022,,,,,1606,https://on3static.com/uploads/assets/480/219/219480.jpg,https://www.on3.com/db/madison-jones-237420/,college_womens_soccer
Leyla McFarland,Eastlake,AT,0,,2018,,,,,2125,https://on3static.com/uploads/assets/23/113/113023.jpg,https://www.on3.com/db/leyla-mcfarland-163087/,college_womens_soccer
Jaida Thomas,Bishop Lynch,AT,0,,2019,,,,,2131,https://on3static.com/uploads/assets/390/225/225390.jpg,https://www.on3.com/db/jaida-thomas-237732/,college_womens_soccer
Mia Krusinski,Ursuline Academy Of Dallas,GK,0,,2021,,,,,1767,https://on3static.com/uploads/assets/223/135/135223.jpg,https://www.on3.com/db/mia-krusinski-175381/,college_womens_soccer
Ashley Orkus,Vestavia Hills,GK,0,,2017,,,,,2106,https://on3static.com/uploads/assets/303/107/107303.jpeg,https://www.on3.com/db/ashley-orkus-162462/,college_womens_soccer
Berkley Mensik,Dundee-Crown,MF,0,,2022,,,,,6956,https://on3static.com/uploads/assets/715/304/304715.png,https://www.on3.com/db/berkley-mensik-227768/,college_womens_soccer
Gianna Paul,Walt Whitman,AT,0,,2022,,,,,1178,https://on3static.com/uploads/assets/887/129/129887.jpg,https://www.on3.com/db/gianna-paul-174929/,college_womens_soccer
Sydney Stevens,Waterloo East,MF,0,,2020,,,,,2833,https://on3static.com/uploads/assets/966/264/264966.png,https://www.on3.com/db/sydney-stevens-200120/,college_womens_soccer
Savannah Kessler,Murrieta Valley,DF,0,,2019,,,,,1729,https://on3static.com/uploads/assets/30/113/113030.jpg,https://www.on3.com/db/savannah-kessler-163092/,college_womens_soccer
Angeles Escobar,Eastside High School,AT,0,,2020,,,,,1108,https://on3static.com/uploads/assets/29/113/113029.jpg,https://www.on3.com/db/angeles-escobar-163091/,college_womens_soccer
Avery Patterson,The Bolles School,AT,0,,2020,,,,,2686,https://on3static.com/uploads/assets/833/129/129833.jpg,https://www.on3.com/db/avery-patterson-172292/,college_womens_soccer
Sydney Urban,Poly Prep,DF,0,,2020,,,,,1917,https://on3static.com/uploads/assets/498/234/234498.png,https://www.on3.com/db/sydney-urban-238094/,college_womens_soccer
Cristina Roque,West Orange,GK,0,,2020,,,,,103,https://on3static.com/uploads/assets/207/167/167207.png,https://www.on3.com/db/cristina-roque-171332/,college_womens_soccer
Lia Godfrey,Fleming Island,MF,0,,2020,,,,,1615,https://on3static.com/uploads/assets/287/107/107287.jpeg,https://www.on3.com/db/lia-godfrey-162454/,college_womens_soccer
Mia Paugh,Olathe Northwest,DF,0,,2024,,,,,1982,https://on3static.com/uploads/assets/731/304/304731.png,https://www.on3.com/db/mia-paugh-241710/,college_womens_soccer
Keegan Good,Park Hill South,MF,0,,2022,,,,,1701,https://on3static.com/uploads/assets/105/222/222105.png,https://www.on3.com/db/keegan-good-237608/,college_womens_soccer
Simone Jackson,Bishop Montgomery,AT,0,,2021,,,,,5012,https://on3static.com/uploads/assets/138/181/181138.jpg,https://www.on3.com/db/simone-jackson-179708/,college_womens_soccer
Rylan Park,Monte Vista,MF,0,,2023,,,,,1521,https://on3static.com/uploads/assets/732/304/304732.png,https://www.on3.com/db/rylan-park-241711/,college_womens_soccer
Mackenzie Smith,Apex,GK,0,,2023,,,,,1320,https://on3static.com/uploads/assets/646/289/289646.png,https://www.on3.com/db/mackenzie-smith-234887/,college_womens_soccer
Kelsey Fuller,Byron-Bergen High School,MF,0,,2019,,,,,4610,https://on3static.com/uploads/assets/824/113/113824.jpg,https://www.on3.com/db/kelsey-fuller-163122/,college_womens_soccer
Sophie McCarty,Walpole,MF,0,,2021,,,,,2054,https://on3static.com/uploads/assets/605/269/269605.png,https://www.on3.com/db/sophie-mccarty-183887/,college_womens_soccer
Paige Peltier,Cretin-Derham Hall,AT,0,,2019,,,,,4210,https://on3static.com/uploads/assets/237/257/257237.png,https://www.on3.com/db/paige-peltier-227820/,college_womens_soccer
