name,school,position,nil_valuation,nil_rank,class_year,recruiting_stars,recruiting_rating,national_rank,state,followers,headshot_url,profile_url,category
Dylan Raiola,Buford,QB,1325740,59.0,2024,5.0,98.22541199158486,21.0,GA,200433,https://on3static.com/uploads/assets/426/333/333426.png,https://www.on3.com/db/dylan-raiola-147035/,portal_football_nil
Chaz Coleman,Warren G Harding,EDGE,1322335,60.0,2025,4.0,91.90472826086956,203.0,OH,0,https://on3static.com/uploads/assets/809/506/506809.png,https://www.on3.com/db/chaz-coleman-242875/,portal_football_nil
Damon Wilson II,Venice,EDGE,1313993,63.0,2023,5.0,97.58854312762975,20.0,FL,23690,https://on3static.com/uploads/assets/341/401/401341.png,https://www.on3.com/db/damon-wilson-ii-28748/,portal_football_nil
Jacarrius Peak,Valdosta,OT,1176502,79.0,2022,4.0,89.05815217391304,392.0,GA,16807,https://on3static.com/uploads/assets/572/225/225572.png,https://www.on3.com/db/jacarrius-peak-147253/,portal_football_nil
DJ Lagway,Willis,QB,1173042,80.0,2024,5.0,99.2258870967742,3.0,TX,158925,https://on3static.com/uploads/assets/907/287/287907.png,https://www.on3.com/db/dj-lagway-34744/,portal_football_nil
Cutter Boley,Lexington Christian Academy,QB,1077262,95.0,2024,4.0,89.53152173913044,389.0,KY,18902,https://on3static.com/uploads/assets/150/115/115150.jpg,https://www.on3.com/db/cutter-boley-151566/,portal_football_nil
Beau Pribula,Central York,QB,1063024,98.0,2022,3.0,88.5,461.0,PA,41952,https://on3static.com/uploads/assets/244/397/397244.jpg,https://www.on3.com/db/beau-pribula-9533/,portal_football_nil
Eric Singleton Jr.,Alexander,WR,878201,,2023,3.0,85.18636363636364,1078.0,GA,26061,https://on3static.com/uploads/assets/659/396/396659.jpg,https://www.on3.com/db/eric-singleton-jr-155719/,portal_football_nil
Lance Heard,Neville,OT,823081,,2023,5.0,97.4915234922861,22.0,LA,8195,https://on3static.com/uploads/assets/738/349/349738.jpg,https://www.on3.com/db/lance-heard-147284/,portal_football_nil
Justice Haynes,Buford,RB,799115,,2023,4.0,97.13742110799438,33.0,GA,71944,https://on3static.com/uploads/assets/641/225/225641.jpeg,https://www.on3.com/db/justice-haynes-68957/,portal_football_nil
John Henry Daley,Lone Peak,EDGE,792888,,2021,3.0,85.35,643.0,UT,0,https://on3static.com/uploads/assets/361/576/576361.png,https://www.on3.com/db/john-henry-daley-63784/,portal_football_nil
Deuce Knight,George County,QB,775790,,2025,5.0,97.19967741935484,25.0,MS,36711,https://on3static.com/uploads/assets/94/320/320094.jpg,https://www.on3.com/db/deuce-knight-152218/,portal_football_nil
Husan Longstreet,Centennial,QB,752856,,2025,5.0,97.59170757363253,21.0,CA,10214,https://on3static.com/uploads/assets/39/583/583039.png,https://www.on3.com/db/husan-longstreet-152055/,portal_football_nil
Jackson Arnold,Guyer,QB,751904,,2023,5.0,98.94314516129032,8.0,TX,93475,https://on3static.com/uploads/assets/735/342/342735.png,https://www.on3.com/db/jackson-arnold-51487/,portal_football_nil
Anthony Colandrea,Lakewood,QB,732467,,2023,3.0,83.4,1456.0,FL,13780,https://on3static.com/uploads/assets/324/396/396324.jpg,https://www.on3.com/db/anthony-colandrea-5972/,portal_football_nil
Caleb Hawkins,North Rock Creek,RB,731852,,2025,3.0,84.76818181818182,1466.0,OK,108,https://on3static.com/uploads/assets/786/191/191786.jpg,https://www.on3.com/db/caleb-hawkins-180902/,portal_football_nil
Kenny Minchey,Pope John Paul II,QB,638127,,2023,4.0,92.55733695652174,171.0,TN,6945,https://on3static.com/uploads/assets/917/235/235917.jpeg,https://www.on3.com/db/kenny-minchey-73343/,portal_football_nil
Justin Flowe,Upland,LB,616246,,2020,5.0,99.04731182795699,6.0,CA,722068,https://on3static.com/uploads/dev/assets/168/6/6168.jpg,https://www.on3.com/db/justin-flowe-69315/,portal_football_nil
Rasheem Biles,Pickerington Central,LB,594712,,2023,3.0,85.35,1027.0,OH,5042,https://on3static.com/uploads/assets/405/577/577405.png,https://www.on3.com/db/rasheem-biles-147854/,portal_football_nil
Koi Perich,Lincoln Secondary,S,586443,,2024,4.0,95.82592391304348,58.0,MN,8625,https://on3static.com/uploads/assets/224/342/342224.jpeg,https://www.on3.com/db/koi-perich-162523/,portal_football_nil
Jordan Ross,Vestavia Hills,EDGE,579973,,2024,5.0,98.25474053295933,20.0,AL,18094,https://on3static.com/uploads/assets/107/194/194107.png,https://www.on3.com/db/jordan-ross-157789/,portal_football_nil
Bryson Beaver,Vista Murrieta,QB,574560,,2026,4.0,91.9376811594203,192.0,CA,5361,https://on3static.com/uploads/assets/953/457/457953.jpg,https://www.on3.com/db/bryson-beaver-246610/,portal_football_nil
Benjamin Brahmer,Pierce,TE,572233,,2023,3.0,87.8,600.0,NE,3178,https://on3static.com/uploads/assets/375/576/576375.png,https://www.on3.com/db/benjamin-brahmer-10118/,portal_football_nil
Quincy Porter,Bergen Catholic,WR,567076,,2025,5.0,97.55116409537167,22.0,NJ,7115,https://on3static.com/uploads/assets/168/585/585168.jpg,https://www.on3.com/db/quincy-porter-155071/,portal_football_nil
Melvin Siani,Wyoming Seminary Upper School,OT,565236,,2023,3.0,81.0,2009.0,PA,1752,https://on3static.com/uploads/assets/977/397/397977.png,https://www.on3.com/db/melvin-siani-175124/,portal_football_nil
